"FishID","2015-02-04","2015-02-05","2015-02-06","2015-02-07","2015-02-08","2015-02-09","2015-02-10","2015-02-11","2015-02-12","2015-02-13","2015-02-14","2015-02-15","2015-02-16","2015-02-17","2015-02-18","2015-02-19","2015-02-20","2015-02-21","2015-02-22","2015-02-23","2015-02-24","2015-02-25","2015-02-26","2015-02-27","2015-02-28","2015-03-01","2015-03-02","2015-03-03","2015-03-04","2015-03-05","2015-03-06","2015-03-07","2015-03-08","2015-03-09","2015-03-10","2015-03-11","2015-03-12","2015-03-13","2015-03-14","2015-03-15","2015-03-16","2015-03-17","2015-03-18","2015-03-19","2015-03-20","2015-03-21","2015-03-22","2015-03-23","2015-03-24","2015-03-25","2015-03-26","2015-03-27","2015-03-28","2015-03-29","2015-03-30","2015-03-31","2015-04-01","2015-04-02","2015-04-03","2015-04-04","2015-04-05","2015-04-06","2015-04-07","2015-04-08","2015-04-09","2015-04-10","2015-04-11","2015-04-12","2015-04-13","2015-04-14","2015-04-15","2015-04-16","2015-04-17","2015-04-18","2015-04-19","2015-04-20","2015-04-21","2015-04-22","2015-04-23","2015-04-24","2015-04-25","2015-04-26","2015-04-27","2015-04-28","2015-04-29","2015-04-30","2015-05-01","2015-05-02","2015-05-03"
"WR2015-044",15777.56,79207.43,32029.51,116861.68,104213.61,34358,69233.94,4344.62,15460.1366666667,15460.1366666667,15460.1366666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WR2015-053",7239.42,87745.57,62477.04,32691.95,92467.99,46095.2,26342.92,26342.92,26342.92,26342.92,18812.6,5806.445,5806.445,5806.445,5806.445,5806.445,5806.445,15605.61,11659.71,11659.71,11659.71,14166.13,14166.13,14166.13,14166.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WR2015-064",7239.42,23250.71,96524.36,30447.53,21603.5375,21603.5375,21603.5375,21603.5375,67771.82,36441.8,97890.56,28218.62,10091.4,10091.4,38620.77,4047.46571428571,4047.46571428571,4047.46571428571,4047.46571428571,4047.46571428571,4047.46571428571,4047.46571428571,4047.46571428571,4047.46571428571,4047.46571428571,4047.46571428571,4047.46571428571,4047.46571428571,4047.46571428571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WR2015-065",15777.56,79207.43,62477.04,25031.986,25031.986,25031.986,25031.986,25031.986,46095.2,13432.6575,13432.6575,13432.6575,13432.6575,5693.41,5693.41,5693.41,5693.41,5693.41,5693.41,5693.41,22194.96,4204.33,11401.28,17489.565,17489.565,18888.1733333333,18888.1733333333,18888.1733333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WR2015-072",15777.56,79207.43,32029.51,30447.53,125159.93,65467.83,86163.43,21773.12,11401.28,11659.71,11659.71,11659.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WR2015-078",15777.56,59709.67,51527.27,116861.68,67771.82,70016.865,70016.865,15966.02,8729.05,2842.792,2842.792,2842.792,2842.792,2842.792,19310.385,19310.385,28332.26,28332.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WR2015-084",7239.42,68247.81,51527.27,30447.53,51627.35,51627.35,10952.615,10952.615,29026.04,3312.89090909091,3312.89090909091,3312.89090909091,3312.89090909091,3312.89090909091,3312.89090909091,3312.89090909091,3312.89090909091,3312.89090909091,3312.89090909091,3312.89090909091,5726.33333333333,5726.33333333333,5726.33333333333,5726.33333333333,5726.33333333333,5726.33333333333,18406.68,23807.23,29610.65,7134.955,7134.955,7134.955,7134.955,20182.8,17489.565,17489.565,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WR2015-087",15777.56,79207.43,62477.04,32691.95,92467.99,99825.83,73578.56,11595.1025,11595.1025,11595.1025,11595.1025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WR2015-105",15777.56,79207.43,62477.04,32691.95,17907.4033333333,17907.4033333333,17907.4033333333,67771.82,36441.8,43081.715,43081.715,10390.76,10390.76,16817.34,4204.33,11401.28,6995.826,6995.826,6995.826,6995.826,6995.826,14166.13,14166.13,14166.13,14166.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WR2015-116",15777.56,79207.43,62477.04,51395.3233333333,51395.3233333333,51395.3233333333,36441.8,1636.09523809524,1636.09523809524,1636.09523809524,1636.09523809524,1636.09523809524,1636.09523809524,1636.09523809524,1636.09523809524,1636.09523809524,1636.09523809524,1636.09523809524,1636.09523809524,1636.09523809524,1636.09523809524,1636.09523809524,1636.09523809524,1636.09523809524,1636.09523809524,1636.09523809524,1636.09523809524,1636.09523809524,9203.34,9203.34,21447.18,22194.96,16817.34,12613,11401.28,17489.565,17489.565,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
