"FishID","2014-02-10","2014-02-11","2014-02-12","2014-02-13","2014-02-14","2014-02-15","2014-02-16","2014-02-17","2014-02-18","2014-02-19","2014-02-20","2014-02-21","2014-02-22","2014-02-23","2014-02-24","2014-02-25","2014-02-26","2014-02-27","2014-02-28","2014-03-01","2014-03-02","2014-03-03","2014-03-04","2014-03-05","2014-03-06","2014-03-07","2014-03-08","2014-03-09","2014-03-10","2014-03-11","2014-03-12","2014-03-13","2014-03-14","2014-03-15","2014-03-16","2014-03-17","2014-03-18","2014-03-19","2014-03-20","2014-03-21","2014-03-22","2014-03-23","2014-03-24","2014-03-25","2014-03-26","2014-03-27","2014-03-28","2014-03-29","2014-03-30","2014-03-31","2014-04-01","2014-04-02","2014-04-03","2014-04-04","2014-04-05","2014-04-06","2014-04-07","2014-04-08","2014-04-09","2014-04-10","2014-04-11","2014-04-12","2014-04-13","2014-04-14","2014-04-15","2014-04-16","2014-04-17","2014-04-18","2014-04-19","2014-04-20","2014-04-21","2014-04-22","2014-04-23","2014-04-24","2014-04-25","2014-04-26","2014-04-27","2014-04-28","2014-04-29","2014-04-30","2014-05-01","2014-05-02","2014-05-03","2014-05-04","2014-05-05","2014-05-06","2014-05-07","2014-05-08","2014-05-09","2014-05-10","2014-05-11","2014-05-12","2014-05-13","2014-05-14","2014-05-15","2014-05-16","2014-05-17"
"WR2014-219",NA,30490.13,22498.55,22498.55,6499.25333333333,6499.25333333333,6499.25333333333,32029.51,10149.1766666667,10149.1766666667,10149.1766666667,16345.975,16345.975,11593.205,11593.205,7633.95,7633.95,7633.95,7633.95,67771.82,69544.76,53060.47,20781.52,12613,4364.525,4364.525,7106.98,7106.98,19310.385,19310.385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WR2014-225",15777.56,79207.43,15199.85,7269.92181818182,7269.92181818182,7269.92181818182,7269.92181818182,7269.92181818182,7269.92181818182,7269.92181818182,7269.92181818182,7269.92181818182,7269.92181818182,7269.92181818182,23186.41,15267.9,15267.9,67771.82,44178.25,44178.25,51677.23,12753.29,5700.64,5700.64,17489.565,17489.565,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WR2014-234",15777.56,59709.67,51527.27,10149.1766666667,10149.1766666667,10149.1766666667,2514.76538461538,2514.76538461538,2514.76538461538,2514.76538461538,2514.76538461538,2514.76538461538,2514.76538461538,2514.76538461538,2514.76538461538,2514.76538461538,2514.76538461538,2514.76538461538,2514.76538461538,53722.21,38745.78,117382.54,51677.23,13073.67,7278.16166666667,7278.16166666667,7278.16166666667,7278.16166666667,7278.16166666667,7278.16166666667,28332.26,28332.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WR2014-241",7239.42,68247.81,51527.27,30447.53,6538.39,6538.39,6538.39,6538.39,6538.39,4637.282,4637.282,4637.282,4637.282,4637.282,15267.9,15267.9,38745.78,49285.4,49285.4,53060.47,20781.52,4204.33,11401.28,11659.71,11659.71,11659.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WR2014-253",15777.56,79207.43,32029.51,15223.765,15223.765,3991.31071428571,3991.31071428571,3991.31071428571,3991.31071428571,3991.31071428571,3991.31071428571,3991.31071428571,3991.31071428571,3991.31071428571,3991.31071428571,3991.31071428571,3991.31071428571,3991.31071428571,3991.31071428571,69281.58,98570.8,53060.47,17428.5,4344.62,8729.05,4737.98666666667,4737.98666666667,4737.98666666667,19310.385,19310.385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WR2014-261",15777.56,59709.67,34697.61,16829.66,4349.64714285714,4349.64714285714,4349.64714285714,4349.64714285714,4349.64714285714,4349.64714285714,4349.64714285714,4670.27857142857,4670.27857142857,4670.27857142857,4670.27857142857,4670.27857142857,4670.27857142857,4670.27857142857,46233.995,46233.995,29026.04,103434.52,26567.36,4330.47,15460.1366666667,15460.1366666667,15460.1366666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WR2014-263",15777.56,59709.67,81974.8,32691.95,1363.90647058824,1363.90647058824,1363.90647058824,1363.90647058824,1363.90647058824,1363.90647058824,1363.90647058824,1363.90647058824,1363.90647058824,1363.90647058824,1363.90647058824,1363.90647058824,1363.90647058824,1363.90647058824,1363.90647058824,1363.90647058824,1363.90647058824,15267.9,15267.9,38745.78,29026.04,113013.7,22608.93,5700.64,5700.64,34979.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WR2014-271",15777.56,59709.67,34697.61,16829.66,7611.8825,7611.8825,7611.8825,7611.8825,2971.99545454545,2971.99545454545,2971.99545454545,2971.99545454545,2971.99545454545,2971.99545454545,2971.99545454545,2971.99545454545,2971.99545454545,2971.99545454545,2971.99545454545,6715.27625,6715.27625,6715.27625,6715.27625,6715.27625,6715.27625,6715.27625,6715.27625,12915.26,12915.26,12915.26,49285.4,49285.4,43468.94,9591.53,25977.46,4204.33,11401.28,11659.71,11659.71,11659.71,14166.13,14166.13,14166.13,14166.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WR2014-273",15777.56,79207.43,32029.51,5395.3675,5395.3675,5395.3675,5395.3675,5395.3675,5395.3675,5395.3675,5395.3675,5395.3675,5395.3675,5395.3675,5395.3675,5395.3675,5395.3675,5395.3675,5395.3675,30535.8,68658.29,68658.29,43468.94,9591.53,20781.52,15605.61,17489.565,17489.565,3333.20705882353,3333.20705882353,3333.20705882353,3333.20705882353,3333.20705882353,3333.20705882353,3333.20705882353,3333.20705882353,3333.20705882353,3333.20705882353,3333.20705882353,3333.20705882353,3333.20705882353,3333.20705882353,3333.20705882353,3333.20705882353,3333.20705882353,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WR2014-274",15777.56,59709.67,34697.61,8414.83,8414.83,3044.753,3044.753,3044.753,3044.753,3044.753,3044.753,3044.753,3044.753,3044.753,3044.753,21603.5375,21603.5375,21603.5375,21603.5375,54514.65,54514.65,32393.8,32393.8,11401.28,17489.565,17489.565,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
