"","date","mean"
"2967",2015-03-31,4.51375
"2968",2015-04-01,4.08125
"2969",2015-04-02,3.88
"2970",2015-04-03,3.9775
"2971",2015-04-04,4.21041666666667
"2972",2015-04-05,4.36125
"2973",2015-04-06,4.34541666666667
"2974",2015-04-07,4.70875
"2975",2015-04-08,4.30833333333333
"2976",2015-04-09,4.22041666666667
"2977",2015-04-10,4.33125
"2978",2015-04-11,4.34041666666667
"2979",2015-04-12,4.15541666666667
"2980",2015-04-13,4.11670696393929
"2981",2015-04-14,4.00541666666667
"2982",2015-04-15,3.76375
"2983",2015-04-16,3.95208333333333
"2984",2015-04-17,4.245
"2985",2015-04-18,4.51041666666667
"2986",2015-04-19,4.86782608695652
"2987",2015-04-20,4.98666666666667
"2988",2015-04-21,5.08875
"2989",2015-04-22,4.7075
"2990",2015-04-23,4.71708333333333
"2991",2015-04-24,4.77041666666667
"2992",2015-04-25,4.61791666666667
"2993",2015-04-26,4.18041666666667
"2994",2015-04-27,4.02291666666667
"2995",2015-04-28,4.21458333333333
"2996",2015-04-29,4.23625
"2997",2015-04-30,4.2275
"2998",2015-05-01,4.49125
"2999",2015-05-02,4.85041666666667
"3000",2015-05-03,5.06458333333333
"3001",2015-05-04,5.0125
"3002",2015-05-05,4.77041666666667
"3003",2015-05-06,4.73875
"3004",2015-05-07,4.64913043478261
"3005",2015-05-08,4.62916666666667
"3006",2015-05-09,4.57208333333333
"3007",2015-05-10,4.56738780954011
"3008",2015-05-11,4.53333333333333
"3009",2015-05-12,4.48791666666667
"3010",2015-05-13,4.4325
"3011",2015-05-14,4.48083333333333
"3012",2015-05-15,4.61125
"3013",2015-05-16,4.6125
"3014",2015-05-17,4.71916666666667
"3015",2015-05-18,4.83833333333333
"3016",2015-05-19,4.8275
"3017",2015-05-20,4.9125
"3018",2015-05-21,4.91416666666667
"3019",2015-05-22,4.71125
"3020",2015-05-23,4.50708333333333
"3021",2015-05-24,4.45958333333333
"3022",2015-05-25,4.51791666666667
"3023",2015-05-26,4.55916666666667
"3024",2015-05-27,4.56375
"3025",2015-05-28,4.54291666666667
"3026",2015-05-29,4.62625
"3027",2015-05-30,4.71958333333333
"3028",2015-05-31,4.90625
"3029",2015-06-01,4.87416666666667
"3030",2015-06-02,4.83125
"3031",2015-06-03,4.88833333333333
"3032",2015-06-04,4.85190476190476
"3033",2015-06-05,5.0475
"3034",2015-06-06,5.13458333333333
"3035",2015-06-07,4.90833333333333
"3036",2015-06-08,4.725
"3037",2015-06-09,4.91333333333333
"3038",2015-06-10,4.6
"3039",2015-06-11,4.60666666666667
"3040",2015-06-12,4.85083333333333
"3041",2015-06-13,5.23416666666667
"3042",2015-06-14,5.37125
"3043",2015-06-15,5.24166666666667
"3044",2015-06-16,5.03208333333333
"3045",2015-06-17,4.99208333333333
"3046",2015-06-18,4.98625
"3047",2015-06-19,4.8175
"3048",2015-06-20,4.74416666666667
"3049",2015-06-21,4.7675
"3050",2015-06-22,4.52
"3051",2015-06-23,4.42666666666667
"3052",2015-06-24,4.4775
"3053",2015-06-25,4.56041666666667
"3054",2015-06-26,4.83130434782609
"3055",2015-06-27,5.03458333333333
"3056",2015-06-28,4.95583333333333
"3057",2015-06-29,4.94625
"3058",2015-06-30,4.83125
"3059",2015-07-01,5.0075
"3060",2015-07-02,5.16125
"3061",2015-07-03,5.25041666666667
"3062",2015-07-04,5.35541666666667
"3063",2015-07-05,5.49416666666667
"3064",2015-07-06,5.17916666666667
"3065",2015-07-07,4.92625
"3066",2015-07-08,4.97708333333333
"3067",2015-07-09,4.9075
"3068",2015-07-10,4.77875
"3069",2015-07-11,4.93875
"3070",2015-07-12,5.03833333333333
"3071",2015-07-13,5.05857142857143
"3072",2015-07-14,5.11458333333333
"3073",2015-07-15,5.12
"3074",2015-07-16,5.30625
"3075",2015-07-17,5.33375
"3076",2015-07-18,5.37458333333333
"3077",2015-07-19,4.95708333333333
"3078",2015-07-20,4.8325
"3079",2015-07-21,4.98458333333333
"3080",2015-07-22,5.0825
"3081",2015-07-23,4.9025
"3082",2015-07-24,4.64590909090909
"3083",2015-07-25,4.74875
"3084",2015-07-26,5.00416666666667
"3085",2015-07-27,5.02791666666667
"3086",2015-07-28,5.0475
"3087",2015-07-29,5.20125
"3088",2015-07-30,5.43791666666667
"3089",2015-07-31,5.39
"3090",2015-08-01,5.35833333333333
"3091",2015-08-02,5.32
"3092",2015-08-03,5.20083333333333
"3093",2015-08-04,4.96208333333333
"3094",2015-08-05,4.68708333333333
"3095",2015-08-06,4.72291666666667
"3096",2015-08-07,4.955
"3097",2015-08-08,4.9675
"3098",2015-08-09,4.88916666666667
"3099",2015-08-10,5.03333333333333
"3100",2015-08-11,5.00375
"3101",2015-08-12,4.83708333333333
"3102",2015-08-13,4.85958333333333
"3103",2015-08-14,4.80416666666667
"3104",2015-08-15,4.57333333333333
"3105",2015-08-16,4.58416666666667
"3106",2015-08-17,4.76833333333333
"3107",2015-08-18,5.1025
"3108",2015-08-19,5.05291666666667
"3109",2015-08-20,4.94291666666667
"3110",2015-08-21,4.93833333333333
"3111",2015-08-22,4.90625
"3112",2015-08-23,4.88541666666667
"3113",2015-08-24,4.855
"3114",2015-08-25,4.84583333333333
