"FishID","TagID","travel_time","Release_Group_SAIL","Year","Route","TagType","tt.grp","SD","rel","end","PDO"
"114.YBUS",38828,4.45061342592593,"Middle Sacramento River",2016,"SacRSlough","Vemco","Chips",22704.8923417624,2016-03-06,2016-03-10,1.55
"115.YBUS",38829,5.98466435185185,"Middle Sacramento River",2016,"SacRSlough","Vemco","Chips",21330.9286959253,2016-03-06,2016-03-14,1.55
"116.YBUS",38831,4.42721064814815,"Middle Sacramento River",2016,"SacR","Vemco","Chips",22565.0223837332,2016-03-06,2016-03-10,1.55
"117.YBUS",38835,10.675150462963,"Middle Sacramento River",2016,"CenDel","Vemco","Chips",22978.8198836115,2016-03-06,2016-03-17,1.55
"118.YBUS",38836,8.59362268518518,"Middle Sacramento River",2016,"CenDel","Vemco","Chips",24988.4368675654,2016-03-06,2016-03-14,1.55
"119.YBUS",38837,6.87482638888889,"Middle Sacramento River",2016,"SacR","Vemco","Chips",20822.8222930252,2016-03-06,2016-03-13,1.55
"12.MJ",2075,9.77302083333333,"Tidal Delta",2012,"Yolo","Vemco","Chips",619314.6746843,2012-03-30,2012-04-12,-1.335
"12.YBUS",36374,7.07553240740741,"Middle Sacramento River",2016,"SacR","Vemco","Chips",18888.2020047936,2016-02-21,2016-02-28,1.29
"120.YBUS",38841,9.01814814814815,"Middle Sacramento River",2016,"CenDel","Vemco","Chips",24360.8547726047,2016-03-06,2016-03-15,1.55
"121.YBUS",38848,4.44391203703704,"Middle Sacramento River",2016,"SacR","Vemco","Chips",22176.9371741184,2016-03-06,2016-03-10,1.55
"122.YBUS",38850,3.88631944444444,"Middle Sacramento River",2016,"SacR","Vemco","Chips",26221.3468143753,2016-03-06,2016-03-10,1.55
"123.YBUS",38852,3.88791666666667,"Middle Sacramento River",2016,"SacRSlough","Vemco","Chips",22045.5069568746,2016-03-06,2016-03-10,1.55
"124.YBUS",38854,6.45868055555556,"Middle Sacramento River",2016,"SacR","Vemco","Chips",13860.3393238334,2016-03-06,2016-03-12,1.55
"125.YBUS",38856,5.68240740740741,"Middle Sacramento River",2016,"SacR","Vemco","Chips",19653.1925033195,2016-03-06,2016-03-12,1.55
"126.YBUS",38857,11.1283449074074,"Middle Sacramento River",2016,"SacR","Vemco","Chips",9171.30768790434,2016-03-06,2016-03-17,1.55
"127.YBUS",38858,3.64277777777778,"Middle Sacramento River",2016,"SacR","Vemco","Chips",27146.1176555063,2016-03-06,2016-03-10,1.55
"128.YBUS",38859,4.19758101851852,"Middle Sacramento River",2016,"SacR","Vemco","Chips",20566.4512497158,2016-03-06,2016-03-10,1.55
"129.YBUS",38860,12.9690625,"Middle Sacramento River",2016,"SacR","Vemco","Chips",12630.5809722123,2016-03-06,2016-03-19,1.55
"13.MJ",2076,11.7864467592593,"Tidal Delta",2012,"Yolo","Vemco","Chips",368822.436859292,2012-03-30,2012-04-13,-1.335
"13.YBUS",36380,6.14516203703704,"Middle Sacramento River",2016,"SacR","Vemco","Chips",15071.4739928875,2016-02-21,2016-02-27,1.29
"130.YBUS",38861,5.24052083333333,"Middle Sacramento River",2016,"SacR","Vemco","Chips",26394.8041724488,2016-03-06,2016-03-11,1.55
"131.YBUS",38864,5.76392361111111,"Middle Sacramento River",2016,"SacR","Vemco","Chips",13855.3232289985,2016-03-06,2016-03-12,1.55
"132.YBUS",38867,6.45543981481481,"Middle Sacramento River",2016,"SacRSlough","Vemco","Chips",18073.5691137261,2016-03-06,2016-03-13,1.55
"133.YBUS",38869,3.79166666666667,"Middle Sacramento River",2016,"SacR","Vemco","Chips",28939.8619871202,2016-03-06,2016-03-10,1.55
"134.YBUS",38871,12.9564236111111,"Middle Sacramento River",2016,"SacR","Vemco","Chips",13558.0140354915,2016-03-06,2016-03-19,1.55
"135.YBUS",38872,4.34449074074074,"Middle Sacramento River",2016,"SacR","Vemco","Chips",25455.5299455414,2016-03-06,2016-03-10,1.55
"136.YBUS",38874,4.13822916666667,"Middle Sacramento River",2016,"SacR","Vemco","Chips",29342.0847090043,2016-03-06,2016-03-10,1.55
"137.YBUS",38875,3.65391203703704,"Middle Sacramento River",2016,"SacRSlough","Vemco","Chips",26690.0517600088,2016-03-06,2016-03-10,1.55
"138.YBUS",38876,8.29327546296296,"Middle Sacramento River",2016,"CenDel","Vemco","Chips",19769.5180751137,2016-03-06,2016-03-14,1.55
"139.YBUS",38880,9.84263888888889,"Middle Sacramento River",2016,"CenDel","Vemco","Chips",24715.3538227024,2016-03-06,2016-03-16,1.55
"14.MJ",2078,7.84450231481481,"Middle Sacramento River",2012,"SacR","Vemco","Chips",18041.9135222725,2012-03-30,2012-04-09,-1.335
"14.YBUS",36384,4.49497685185185,"Middle Sacramento River",2016,"SacRSlough","Vemco","Chips",17329.0518391909,2016-02-21,2016-02-25,1.29
"140.YBUS",38882,7.72678240740741,"Middle Sacramento River",2016,"SacR","Vemco","Chips",15366.3882331338,2016-03-06,2016-03-14,1.55
"141.YBUS",38884,4.65351851851852,"Middle Sacramento River",2016,"SacR","Vemco","Chips",20859.9553905211,2016-03-06,2016-03-11,1.55
"142.YBUS",38889,7.72993055555556,"Middle Sacramento River",2016,"SacRSlough","Vemco","Chips",19987.0758259315,2016-03-06,2016-03-14,1.55
"143.YBUS",38890,5.73828703703704,"Middle Sacramento River",2016,"SacR","Vemco","Chips",29304.5700256476,2016-03-06,2016-03-12,1.55
"144.YBUS",38892,4.37758101851852,"Middle Sacramento River",2016,"SacR","Vemco","Chips",31677.6236131777,2016-03-06,2016-03-11,1.55
"145.YBUS",38899,4.93798611111111,"Middle Sacramento River",2016,"SacR","Vemco","Chips",30313.2128572862,2016-03-06,2016-03-11,1.55
"146.YBUS",38901,8.02577546296296,"Middle Sacramento River",2016,"CenDel","Vemco","Chips",31061.0162527416,2016-03-06,2016-03-14,1.55
"147.YBUS",38903,4.06121527777778,"Middle Sacramento River",2016,"SacR","Vemco","Chips",34894.774164448,2016-03-06,2016-03-10,1.55
"148.YBUS",38904,2.86652777777778,"Middle Sacramento River",2016,"SacR","Vemco","Chips",36033.6256306448,2016-03-06,2016-03-09,1.55
"149.YBUS",38905,26.2152893518519,"Middle Sacramento River",2016,"CenDel","Vemco","Chips",18048.6002620718,2016-03-06,2016-04-02,1.64
"15.MJ",2079,13.1026736111111,"Middle Sacramento River",2012,"SacR","Vemco","Chips",39822.0918368025,2012-03-30,2012-04-12,-1.335
"15.YBUS",36387,5.0834837962963,"Middle Sacramento River",2016,"SacRSlough","Vemco","Chips",18100.5383840059,2016-02-21,2016-02-26,1.29
"150.YBUS",38907,5.98413194444444,"Middle Sacramento River",2016,"SacRSlough","Vemco","Chips",29890.3088962338,2016-03-06,2016-03-12,1.55
"151.YBUS",38909,3.35174768518519,"Middle Sacramento River",2016,"SacR","Vemco","Chips",35239.7656021256,2016-03-06,2016-03-10,1.55
"152.YBUS",38914,3.86398148148148,"Middle Sacramento River",2016,"SacR","Vemco","Chips",32931.0775384521,2016-03-06,2016-03-10,1.55
"153.YBUS",38916,7.02215277777778,"Middle Sacramento River",2016,"SacR","Vemco","Chips",27108.4674782637,2016-03-06,2016-03-13,1.55
"154.YBUS",38918,3.35498842592593,"Middle Sacramento River",2016,"SacR","Vemco","Chips",36626.2795253101,2016-03-06,2016-03-10,1.55
"155.YBUS",38926,3.79730324074074,"Middle Sacramento River",2016,"SacR","Vemco","Chips",18899.7456448626,2016-03-11,2016-03-14,1.55
"156.YBUS",38928,5.49078703703704,"Middle Sacramento River",2016,"CenDel","Vemco","Chips",33122.4533415472,2016-03-11,2016-03-16,1.55
"157.YBUS",38929,16.7962037037037,"Middle Sacramento River",2016,"CenDel","Vemco","Chips",24826.6420946034,2016-03-11,2016-03-27,1.55
"158.YBUS",38930,3.96253472222222,"Middle Sacramento River",2016,"SacR","Vemco","Chips",27403.7248227907,2016-03-11,2016-03-14,1.55
"159.YBUS",38933,3.79258101851852,"Middle Sacramento River",2016,"SacR","Vemco","Chips",31718.8020593232,2016-03-11,2016-03-14,1.55
"16.MJ",2080,7.550625,"Middle Sacramento River",2012,"SacR","Vemco","Chips",37381.3555183857,2012-03-30,2012-04-07,-1.335
"16.YBUS",36390,6.03703703703704,"Middle Sacramento River",2016,"SacR","Vemco","Chips",26167.9367964373,2016-02-21,2016-02-27,1.29
"160.YBUS",38936,5.49366898148148,"Middle Sacramento River",2016,"SacR","Vemco","Chips",28759.0192813557,2016-03-11,2016-03-16,1.55
"161.YBUS",38937,9.89623842592593,"Middle Sacramento River",2016,"SacR","Vemco","Chips",9093.17155672207,2016-03-11,2016-03-21,1.55
"162.YBUS",38938,3.105,"Middle Sacramento River",2016,"SacRSlough","Vemco","Chips",32489.2953945986,2016-03-11,2016-03-14,1.55
"163.YBUS",38939,3.22253472222222,"Middle Sacramento River",2016,"SacRSlough","Vemco","Chips",36603.1475882081,2016-03-11,2016-03-14,1.55
"164.YBUS",38940,3.66429398148148,"Middle Sacramento River",2016,"SacR","Vemco","Chips",19121.333117369,2016-03-11,2016-03-14,1.55
"165.YBUS",38942,5.91564814814815,"Middle Sacramento River",2016,"SacR","Vemco","Chips",30507.6087363845,2016-03-11,2016-03-17,1.55
"166.YBUS",38943,6.71905092592593,"Middle Sacramento River",2016,"CenDel","Vemco","Chips",29945.9475144705,2016-03-11,2016-03-17,1.55
"167.YBUS",38945,4.82505787037037,"Middle Sacramento River",2016,"SacR","Vemco","Chips",31402.6917064559,2016-03-11,2016-03-15,1.55
"168.YBUS",38946,3.05177083333333,"Middle Sacramento River",2016,"SacR","Vemco","Chips",18272.4368869533,2016-03-11,2016-03-14,1.55
"169.YBUS",38953,3.05646990740741,"Middle Sacramento River",2016,"SacR","Vemco","Chips",25193.3658731492,2016-03-11,2016-03-14,1.55
"17.MJ",2081,6.23950231481481,"Middle Sacramento River",2012,"SacRSlough","Vemco","Chips",79986.748968425,2012-03-30,2012-04-07,-1.335
"17.YBUS",36393,8.14960648148148,"Middle Sacramento River",2016,"SacRSlough","Vemco","Chips",11434.2124981412,2016-02-21,2016-02-29,1.29
"170.YBUS",38956,3.79930555555556,"Tidal Delta",2016,"Yolo","Vemco","Chips",12924.6388671552,2016-03-11,2016-03-15,1.55
"171.YBUS",38957,6.33863425925926,"Tidal Delta",2016,"Yolo","Vemco","Chips",16286.0161217558,2016-03-11,2016-03-17,1.55
"172.YBUS",38958,3.88577546296296,"Tidal Delta",2016,"Yolo","Vemco","Chips",13177.3734985155,2016-03-11,2016-03-15,1.55
"173.YBUS",38960,3.21636574074074,"Tidal Delta",2016,"Yolo","Vemco","Chips",13759.1228354528,2016-03-11,2016-03-14,1.55
"174.YBUS",38963,2.7825,"Tidal Delta",2016,"Yolo","Vemco","Chips",16010.0018968516,2016-03-11,2016-03-14,1.55
"175.YBUS",38964,3.32454861111111,"Tidal Delta",2016,"Yolo","Vemco","Chips",14604.8151016866,2016-03-11,2016-03-14,1.55
"176.YBUS",38965,12.5897569444444,"Tidal Delta",2016,"Yolo","Vemco","Chips",11037.9023980956,2016-03-11,2016-03-24,1.55
"177.YBUS",38967,3.33501157407407,"Middle Sacramento River",2016,"SacR","Vemco","Chips",28644.4138597246,2016-03-11,2016-03-14,1.55
"178.YBUS",38968,3.88041666666667,"Middle Sacramento River",2016,"SacR","Vemco","Chips",26873.4759449093,2016-03-11,2016-03-14,1.55
"179.YBUS",38969,5.90543981481482,"Middle Sacramento River",2016,"SacR","Vemco","Chips",28545.5872730857,2016-03-11,2016-03-16,1.55
"18.MJ",2082,6.25921296296296,"Middle Sacramento River",2012,"SacR","Vemco","Chips",25420.4646964247,2012-03-30,2012-04-10,-1.335
"18.YBUS",36394,5.56407407407407,"Middle Sacramento River",2016,"SacR","Vemco","Chips",12126.8848802197,2016-02-21,2016-02-26,1.29
"180.YBUS",38972,2.90868055555556,"Middle Sacramento River",2016,"SacRSlough","Vemco","Chips",27066.3899171961,2016-03-11,2016-03-13,1.55
"181.YBUS",38974,3.33805555555556,"Middle Sacramento River",2016,"SacR","Vemco","Chips",36297.1764462987,2016-03-11,2016-03-14,1.55
"182.YBUS",38975,3.345,"Middle Sacramento River",2016,"SacR","Vemco","Chips",36381.9310995853,2016-03-11,2016-03-14,1.55
"183.YBUS",38978,3.97497685185185,"Middle Sacramento River",2016,"SacRSlough","Vemco","Chips",33916.2568514575,2016-03-11,2016-03-14,1.55
"184.YBUS",38979,3.67668981481481,"Middle Sacramento River",2016,"SacR","Vemco","Chips",23740.4127028836,2016-03-11,2016-03-14,1.55
"185.YBUS",38980,3.21181712962963,"Middle Sacramento River",2016,"SacR","Vemco","Chips",32395.24820301,2016-03-11,2016-03-14,1.55
"186.YBUS",38981,3.7184837962963,"Middle Sacramento River",2016,"SacR","Vemco","Chips",19937.6199878393,2016-03-11,2016-03-14,1.55
"187.YBUS",38982,4.69924768518518,"Middle Sacramento River",2016,"SacR","Vemco","Chips",17796.6727565891,2016-03-11,2016-03-15,1.55
"188.YBUS",38984,3.70988425925926,"Middle Sacramento River",2016,"SacR","Vemco","Chips",15170.7990827186,2016-03-11,2016-03-14,1.55
"189.YBUS",38985,6.38519675925926,"Middle Sacramento River",2016,"SacR","Vemco","Chips",27825.7005735915,2016-03-11,2016-03-17,1.55
"19.MJ",2083,8.84472222222222,"Middle Sacramento River",2012,"SacR","Vemco","Chips",18837.8230670277,2012-03-30,2012-04-09,-1.335
"19.YBUS",36396,8.66331018518519,"Middle Sacramento River",2016,"SacR","Vemco","Chips",14614.4971277072,2016-02-21,2016-02-29,1.29
"190.YBUS",38986,3.58356481481481,"Middle Sacramento River",2016,"SacR","Vemco","Chips",22112.5475218542,2016-03-11,2016-03-14,1.55
"191.YBUS",38989,6.67921296296296,"Middle Sacramento River",2016,"CenDel","Vemco","Chips",23013.9583703729,2016-03-11,2016-03-17,1.55
"192.YBUS",38990,3.48739583333333,"Middle Sacramento River",2016,"SacR","Vemco","Chips",18360.9507903407,2016-03-11,2016-03-14,1.55
"193.YBUS",38991,4.12993055555556,"Middle Sacramento River",2016,"SacRSlough","Vemco","Chips",23477.7550303486,2016-03-11,2016-03-15,1.55
"194.YBUS",38992,3.53077546296296,"Middle Sacramento River",2016,"SacR","Vemco","Chips",20624.550111815,2016-03-11,2016-03-14,1.55
"195.YBUS",38993,3.63077546296296,"Middle Sacramento River",2016,"SacR","Vemco","Chips",18156.2403152813,2016-03-11,2016-03-14,1.55
"196.YBUS",38994,3.49380787037037,"Middle Sacramento River",2016,"SacR","Vemco","Chips",19820.4025339957,2016-03-11,2016-03-14,1.55
"197.YBUS",38995,3.01331018518519,"Tidal Delta",2016,"Yolo","Vemco","Chips",14216.1778287742,2016-03-11,2016-03-14,1.55
"198.YBUS",38996,6.18704861111111,"Tidal Delta",2016,"Yolo","Vemco","Chips",8894.11033036185,2016-03-11,2016-03-17,1.55
"199.YBUS",38999,5.68726851851852,"Tidal Delta",2016,"Yolo","Vemco","Chips",21655.7195339334,2016-03-11,2016-03-17,1.55
"2.MJ",2055,13.8167013888889,"Tidal Delta",2012,"Yolo","Vemco","Chips",379366.864364308,2012-03-30,2012-04-14,-1.335
"2.YBUS",36341,5.03733796296296,"Middle Sacramento River",2016,"SacR","Vemco","Chips",15250.4551457785,2016-02-21,2016-02-26,1.29
"20.MJ",2084,5.91920138888889,"Middle Sacramento River",2012,"SacR","Vemco","Chips",18265.1345326606,2012-03-30,2012-04-05,-1.335
"20.YBUS",36397,4.96340277777778,"Middle Sacramento River",2016,"SacR","Vemco","Chips",18593.0883907153,2016-02-21,2016-02-26,1.29
"200.YBUS",39000,3.18833333333333,"Tidal Delta",2016,"Yolo","Vemco","Chips",15787.0206965022,2016-03-11,2016-03-15,1.55
"201.YBUS",39001,4.13832175925926,"Tidal Delta",2016,"Yolo","Vemco","Chips",13441.8071064984,2016-03-11,2016-03-15,1.55
"202.YBUS",39002,5.64048611111111,"Tidal Delta",2016,"Yolo","Vemco","Chips",12242.4690082279,2016-03-11,2016-03-17,1.55
"203.YBUS",39003,2.98876157407407,"Tidal Delta",2016,"Yolo","Vemco","Chips",14661.0825813985,2016-03-11,2016-03-14,1.55
"204.YBUS",39004,4.93810185185185,"Tidal Delta",2016,"Yolo","Vemco","Chips",6523.40029871848,2016-03-12,2016-03-16,1.55
"205.YBUS",39005,11.8651967592593,"Tidal Delta",2016,"Yolo","Vemco","Chips",9651.13075271282,2016-03-11,2016-03-23,1.55
"206.YBUS",39006,5.90353009259259,"Tidal Delta",2016,"Yolo","Vemco","Chips",10841.2091538632,2016-03-12,2016-03-17,1.55
"207.YBUS",39008,6.21770833333333,"Tidal Delta",2016,"Yolo","Vemco","Chips",9155.39575144975,2016-03-12,2016-03-18,1.55
"208.YBUS",39009,3.27630787037037,"Tidal Delta",2016,"Yolo","Vemco","Chips",9481.33457601112,2016-03-12,2016-03-15,1.55
"209.YBUS",39010,2.8899537037037,"Tidal Delta",2016,"Yolo","Vemco","Chips",12446.9836143111,2016-03-12,2016-03-14,1.55
"21.MJ",2085,13.0461226851852,"Middle Sacramento River",2012,"SacR","Vemco","Chips",369141.147813652,2012-03-30,2012-04-12,-1.335
"21.YBUS",36403,3.54334490740741,"Middle Sacramento River",2016,"SacR","Vemco","Chips",30142.4761095766,2016-03-06,2016-03-10,1.55
"210.YBUS",39013,6.44460648148148,"Middle Sacramento River",2016,"SacR","Vemco","Chips",26261.0515373022,2016-03-15,2016-03-22,1.55
"211.YBUS",39014,3.87123842592593,"Middle Sacramento River",2016,"SacR","Vemco","Chips",33174.4182693956,2016-03-15,2016-03-19,1.55
"212.YBUS",39016,3.82679398148148,"Middle Sacramento River",2016,"SacR","Vemco","Chips",38073.4001472313,2016-03-15,2016-03-19,1.55
"213.YBUS",39018,2.68021990740741,"Middle Sacramento River",2016,"SacRSlough","Vemco","Chips",32931.2760853974,2016-03-16,2016-03-19,1.55
"214.YBUS",39020,6.69827546296296,"Middle Sacramento River",2016,"Yolo","Vemco","Chips",15433.1237092975,2016-03-16,2016-03-23,1.55
"215.YBUS",39021,9.38922453703704,"Middle Sacramento River",2016,"SacR","Vemco","Chips",24709.6532524217,2016-03-16,2016-03-25,1.55
"216.YBUS",39022,2.72144675925926,"Middle Sacramento River",2016,"SacRSlough","Vemco","Chips",31786.6731692462,2016-03-16,2016-03-19,1.55
"217.YBUS",39024,7.3247337962963,"Middle Sacramento River",2016,"Yolo","Vemco","Chips",25635.6859113115,2016-03-16,2016-03-23,1.55
"218.YBUS",39025,3.19730324074074,"Middle Sacramento River",2016,"Yolo","Vemco","Chips",44069.2747078673,2016-03-16,2016-03-19,1.55
"219.YBUS",39027,11.3940856481481,"Tidal Delta",2016,"Yolo","Vemco","Chips",13764.9552516998,2016-03-16,2016-03-27,1.55
"22.MJ",2086,9.88253472222222,"Middle Sacramento River",2012,"SacR","Vemco","Chips",22452.7584457217,2012-03-30,2012-04-10,-1.335
"22.YBUS",36405,6.96131944444444,"Middle Sacramento River",2016,"SacR","Vemco","Chips",23077.2690933418,2016-03-11,2016-03-18,1.55
"220.YBUS",39031,5.52269675925926,"Tidal Delta",2016,"Yolo","Vemco","Chips",20733.6639503658,2016-03-16,2016-03-22,1.55
"221.YBUS",39032,8.74930555555556,"Tidal Delta",2016,"Yolo","Vemco","Chips",26587.5097822392,2016-03-16,2016-03-25,1.55
"222.YBUS",39034,4.18096064814815,"Tidal Delta",2016,"Yolo","Vemco","Chips",50038.1860159437,2016-03-16,2016-03-21,1.55
"223.YBUS",39036,3.08474537037037,"Tidal Delta",2016,"Yolo","Vemco","Chips",49779.6249520029,2016-03-16,2016-03-20,1.55
"224.YBUS",39040,2.2503125,"Middle Sacramento River",2016,"SacR","Vemco","Chips",30312.2986038404,2016-03-16,2016-03-19,1.55
"225.YBUS",39041,2.26155092592593,"Middle Sacramento River",2016,"SacR","Vemco","Chips",29782.0983209087,2016-03-16,2016-03-19,1.55
"226.YBUS",39045,2.11832175925926,"Middle Sacramento River",2016,"SacR","Vemco","Chips",31347.8186163765,2016-03-16,2016-03-19,1.55
"227.YBUS",39046,2.23243055555556,"Middle Sacramento River",2016,"SacR","Vemco","Chips",30415.320261736,2016-03-16,2016-03-19,1.55
"228.YBUS",39050,2.23525462962963,"Middle Sacramento River",2016,"SacR","Vemco","Chips",30178.8035605246,2016-03-16,2016-03-19,1.55
"229.YBUS",39052,2.48878472222222,"Middle Sacramento River",2016,"SacR","Vemco","Chips",24640.8771196333,2016-03-16,2016-03-19,1.55
"23.MJ",2087,14.0629050925926,"Middle Sacramento River",2012,"SacRSlough","Vemco","Chips",14495.3716983211,2012-03-30,2012-04-14,-1.335
"23.YBUS",36409,5.53582175925926,"Middle Sacramento River",2016,"SacR","Vemco","Chips",22778.8028382422,2016-02-21,2016-02-27,1.29
"230.YBUS",39054,3.86039351851852,"Middle Sacramento River",2016,"Yolo","Vemco","Chips",32913.5091290836,2016-03-15,2016-03-19,1.55
"231.YBUS",39057,10.4918287037037,"Middle Sacramento River",2016,"Yolo","Vemco","Chips",11921.6634605075,2016-03-15,2016-03-26,1.55
"232.YBUS",39059,3.27284722222222,"Middle Sacramento River",2016,"SacR","Vemco","Chips",40888.1502012873,2016-03-16,2016-03-19,1.55
"233.YBUS",39060,4.25099537037037,"Middle Sacramento River",2016,"SacR","Vemco","Chips",34445.4378153822,2016-03-16,2016-03-20,1.55
"234.YBUS",39061,2.7519212962963,"Middle Sacramento River",2016,"SacR","Vemco","Chips",28209.8353580391,2016-03-16,2016-03-19,1.55
"235.YBUS",39063,5.66990740740741,"Middle Sacramento River",2016,"Yolo","Vemco","Chips",46285.4156584083,2016-03-16,2016-03-22,1.55
"236.YBUS",39065,3.28626157407407,"Middle Sacramento River",2016,"Yolo","Vemco","Chips",25334.6922667794,2016-03-16,2016-03-19,1.55
"237.YBUS",39067,3.87369212962963,"Tidal Delta",2016,"Yolo","Vemco","Chips",57865.9241863331,2016-03-16,2016-03-20,1.55
"238.YBUS",39069,9.4580787037037,"Tidal Delta",2016,"Yolo","Vemco","Chips",26339.569701212,2016-03-16,2016-03-25,1.55
"239.YBUS",39070,4.30405092592593,"Tidal Delta",2016,"Yolo","Vemco","Chips",53158.8511010422,2016-03-16,2016-03-20,1.55
"24.MJ",2089,13.0968865740741,"Middle Sacramento River",2012,"SacRSlough","Vemco","Chips",191219.406519686,2012-03-30,2012-04-13,-1.335
"24.YBUS",36412,5.64398148148148,"Middle Sacramento River",2016,"SacR","Vemco","Chips",17956.3029678838,2016-02-21,2016-02-27,1.29
"240.YBUS",39071,16.5102314814815,"Tidal Delta",2016,"Yolo","Vemco","Chips",7259.28258752804,2016-03-16,2016-04-01,1.64
"241.YBUS",39075,3.65925925925926,"Tidal Delta",2016,"Yolo","Vemco","Chips",22543.1575865686,2016-03-16,2016-03-19,1.55
"242.YBUS",39076,8.40025462962963,"Tidal Delta",2016,"Yolo","Vemco","Chips",34433.8725774369,2016-03-16,2016-03-24,1.55
"243.YBUS",39077,9.51237268518519,"Tidal Delta",2016,"Yolo","Vemco","Chips",32402.3250840133,2016-03-16,2016-03-25,1.55
"244.YBUS",39078,2.67099537037037,"Middle Sacramento River",2016,"SacR","Vemco","Chips",19906.4083223657,2016-03-16,2016-03-18,1.55
"245.YBUS",39079,2.31091435185185,"Middle Sacramento River",2016,"SacR","Vemco","Chips",20467.8489288908,2016-03-16,2016-03-18,1.55
"246.YBUS",39081,1.79804398148148,"Middle Sacramento River",2016,"SacR","Vemco","Chips",32475.895563617,2016-03-16,2016-03-18,1.55
"247.YBUS",39082,4.32115740740741,"Middle Sacramento River",2016,"CenDel","Vemco","Chips",23548.2040986882,2016-03-16,2016-03-20,1.55
"248.YBUS",39084,2.25034722222222,"Middle Sacramento River",2016,"SacR","Vemco","Chips",21778.4752055795,2016-03-16,2016-03-18,1.55
"249.YBUS",39085,6.49126157407407,"Middle Sacramento River",2016,"CenDel","Vemco","Chips",23747.477515475,2016-03-16,2016-03-22,1.55
"25.MJ",2098,16.1597685185185,"Middle Sacramento River",2012,"SacR","Vemco","Chips",78738.8227840484,2012-03-30,2012-04-15,-1.335
"25.YBUS",36416,5.6458912037037,"Middle Sacramento River",2016,"SacRSlough","Vemco","Chips",21464.0380577823,2016-02-21,2016-02-27,1.29
"250.YBUS",39086,1.87555555555556,"Middle Sacramento River",2016,"SacR","Vemco","Chips",31077.6255079947,2016-03-16,2016-03-18,1.55
"251.YBUS",39087,4.59644675925926,"Middle Sacramento River",2016,"SacR","Vemco","Chips",12930.6308209036,2016-03-18,2016-03-22,1.55
"252.YBUS",39088,2.5228587962963,"Middle Sacramento River",2016,"SacR","Vemco","Chips",34577.035231374,2016-03-18,2016-03-20,1.55
"253.YBUS",39090,2.54438657407407,"Middle Sacramento River",2016,"SacR","Vemco","Chips",35405.8012740316,2016-03-18,2016-03-20,1.55
